date,lat,lon,sst
2026-05-06,-10.000,40.000,29.045
2026-05-06,-10.000,41.000,29.093
2026-05-06,-10.000,42.000,29.007
2026-05-06,-10.000,43.000,28.949
2026-05-06,-10.000,44.000,29.124
2026-05-06,-10.000,45.000,28.882
2026-05-06,-10.000,46.000,28.605
2026-05-06,-10.000,47.000,28.908
2026-05-06,-10.000,48.000,28.505
2026-05-06,-10.000,49.000,27.708
2026-05-06,-10.000,50.000,27.581
2026-05-06,-10.000,51.000,27.896
2026-05-06,-10.000,52.000,28.228
2026-05-06,-10.000,53.000,28.287
2026-05-06,-10.000,54.000,28.144
2026-05-06,-10.000,55.000,28.304
2026-05-06,-10.000,56.000,28.566
2026-05-06,-10.000,57.000,28.883
2026-05-06,-10.000,58.000,29.105
2026-05-06,-10.000,59.000,29.139
2026-05-06,-10.000,60.000,29.263
2026-05-06,-10.000,61.000,29.422
2026-05-06,-10.000,62.000,29.534
2026-05-06,-10.000,63.000,29.667
2026-05-06,-10.000,64.000,29.676
2026-05-06,-10.000,65.000,29.376
2026-05-06,-10.000,66.000,29.234
2026-05-06,-10.000,67.000,29.293
2026-05-06,-10.000,68.000,29.234
2026-05-06,-10.000,69.000,29.263
2026-05-06,-10.000,70.000,29.203
2026-05-06,-10.000,71.000,29.026
2026-05-06,-10.000,72.000,28.946
2026-05-06,-10.000,73.000,28.985
2026-05-06,-10.000,74.000,28.987
2026-05-06,-10.000,75.000,29.205
2026-05-06,-10.000,76.000,29.179
2026-05-06,-10.000,77.000,28.909
2026-05-06,-10.000,78.000,29.195
2026-05-06,-10.000,79.000,29.277
2026-05-06,-10.000,80.000,29.236
2026-05-06,-10.000,81.000,28.951
2026-05-06,-10.000,82.000,28.811
2026-05-06,-10.000,83.000,28.904
2026-05-06,-10.000,84.000,28.876
2026-05-06,-10.000,85.000,28.671
2026-05-06,-10.000,86.000,28.526
2026-05-06,-10.000,87.000,28.658
2026-05-06,-10.000,88.000,28.497
2026-05-06,-10.000,89.000,28.508
2026-05-06,-10.000,90.000,28.569
2026-05-06,-10.000,91.000,28.901
2026-05-06,-10.000,92.000,28.947
2026-05-06,-10.000,93.000,28.980
2026-05-06,-10.000,94.000,29.412
2026-05-06,-10.000,95.000,29.923
2026-05-06,-10.000,96.000,29.595
2026-05-06,-10.000,97.000,29.406
2026-05-06,-10.000,98.000,29.449
2026-05-06,-10.000,99.000,29.349
2026-05-06,-10.000,100.000,29.437
2026-05-06,-10.000,101.000,29.580
2026-05-06,-10.000,102.000,29.760
2026-05-06,-10.000,103.000,29.729
2026-05-06,-10.000,104.000,29.614
2026-05-06,-10.000,105.000,29.336
2026-05-06,-10.000,106.000,29.224
2026-05-06,-10.000,107.000,29.288
2026-05-06,-10.000,108.000,29.191
2026-05-06,-10.000,109.000,29.105
2026-05-06,-10.000,110.000,29.006
2026-05-06,-10.000,111.000,28.951
2026-05-06,-10.000,112.000,28.879
2026-05-06,-10.000,113.000,28.531
2026-05-06,-10.000,114.000,28.238
2026-05-06,-10.000,115.000,28.072
2026-05-06,-10.000,116.000,28.287
2026-05-06,-10.000,117.000,28.239
2026-05-06,-10.000,118.000,28.068
2026-05-06,-10.000,119.000,28.346
2026-05-06,-10.000,120.000,28.253
2026-05-06,-10.000,121.000,28.256
2026-05-06,-10.000,122.000,28.429
2026-05-06,-10.000,123.000,28.694
2026-05-06,-10.000,124.000,28.581
2026-05-06,-10.000,125.000,28.754
2026-05-06,-10.000,126.000,28.841
2026-05-06,-10.000,127.000,28.763
2026-05-06,-10.000,128.000,28.710
2026-05-06,-10.000,129.000,28.692
2026-05-06,-10.000,130.000,28.713
2026-05-06,-10.000,131.000,28.721
2026-05-06,-10.000,132.000,28.679
2026-05-06,-10.000,133.000,28.577
2026-05-06,-10.000,134.000,28.568
2026-05-06,-10.000,135.000,28.449
2026-05-06,-10.000,136.000,28.331
2026-05-06,-10.000,137.000,28.349
2026-05-06,-10.000,138.000,28.287
2026-05-06,-10.000,139.000,28.387
2026-05-06,-10.000,140.000,28.418
